gong_call_id,project_id,customer,call_title,call_start_time_iso,call_duration_seconds,participants_json,crm_associations_json,ai_topics_json,ai_summary,ai_action_items,transcript_excerpt,transcript_json,source_endpoints_hint
CALL-200000,PRJ-2002,NorthStar Avionics,NorthStar Avionics - Implementation Sync,2026-02-22T10:06:04.974256-05:00,1369,"[{""email"": ""maya.chen@technicianos.demo"", ""role"": ""internal""}, {""email"": ""samira.khan@technicianos.demo"", ""role"": ""internal""}, {""email"": ""northstar.admin@northstar.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""NorthStar Avionics"", ""opportunityName"": ""NorthStar Avionics Implementation"", ""accountId"": ""ACC-000""}","[""Rollback plan"", ""Database migration"", ""Monitoring & alerts"", ""Acceptance criteria"", ""Bug triage""]","Call with NorthStar Avionics covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Create: Request service account with least-privilege permissions. || Create: Run staging database test migration and log performance metrics.,PM: Quick recap of project goals and blockers. | Customer: Confirmed next steps and ownership assignments. | Customer: Reviewed environment configuration and prerequisites.,"[{""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200001,PRJ-2003,Harbor Health Systems,Harbor Health Systems - Go-Live Readiness,2026-01-30T12:06:04.974256-05:00,1638,"[{""email"": ""dylan.ng@technicianos.demo"", ""role"": ""internal""}, {""email"": ""liam.patel@technicianos.demo"", ""role"": ""internal""}, {""email"": ""harbor.admin@harbor.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""Harbor Health Systems"", ""opportunityName"": ""Harbor Health Systems Implementation"", ""accountId"": ""ACC-001""}","[""Firewall / ports"", ""API authentication"", ""SSO configuration""]","Call with Harbor Health Systems covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Comment: Customer prefers after-hours rollout window. || Create: Schedule UAT and define measurable success criteria. || Complete: Validate license server connectivity from app host. || Create: Provide API sample payloads and auth details.,Tech: Outlined rollback and change management approach. | Customer: Reviewed environment configuration and prerequisites. | Tech: Confirmed next steps and ownership assignments.,"[{""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""PM"", ""speaker_email"": ""dylan.ng@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200002,PRJ-2003,Harbor Health Systems,Harbor Health Systems - Integration Review,2026-02-14T07:06:04.974256-05:00,2440,"[{""email"": ""dylan.ng@technicianos.demo"", ""role"": ""internal""}, {""email"": ""liam.patel@technicianos.demo"", ""role"": ""internal""}, {""email"": ""harbor.admin@harbor.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""Harbor Health Systems"", ""opportunityName"": ""Harbor Health Systems Implementation"", ""accountId"": ""ACC-002""}","[""Deployment planning"", ""Database migration"", ""User training"", ""Firewall / ports"", ""Data mapping""]","Call with Harbor Health Systems covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Comment: Legacy schema requires custom field mapping. || Create: Draft rollback plan and circulate for approval. || Create: Confirm required inbound ports with customer IT (include protocol and IP ranges). || Create: Share updated installation checklist.,Tech: Reviewed environment configuration and prerequisites. | Customer: Aligned on UAT schedule and acceptance criteria. | PM: Outlined rollback and change management approach.,"[{""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""dylan.ng@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""PM"", ""speaker_email"": ""dylan.ng@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""PM"", ""speaker_email"": ""dylan.ng@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""dylan.ng@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""PM"", ""speaker_email"": ""dylan.ng@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200003,PRJ-2001,Apex Robotics,Apex Robotics - Technical Deep Dive,2026-02-12T12:06:04.974256-05:00,3269,"[{""email"": ""maya.chen@technicianos.demo"", ""role"": ""internal""}, {""email"": ""liam.patel@technicianos.demo"", ""role"": ""internal""}, {""email"": ""apex.admin@apex.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""Apex Robotics"", ""opportunityName"": ""Apex Robotics Implementation"", ""accountId"": ""ACC-003""}","[""Change management"", ""Data mapping"", ""Integration testing"", ""SSO configuration"", ""Performance tuning""]","Call with Apex Robotics covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Create: Draft rollback plan and circulate for approval. || Comment: Customer prefers after-hours rollout window. || Create: Confirm required inbound ports with customer IT (include protocol and IP ranges). || Create: Schedule UAT and define measurable success criteria.,Customer: Aligned on UAT schedule and acceptance criteria. | PM: Quick recap of project goals and blockers. | PM: Outlined rollback and change management approach.,"[{""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200004,PRJ-2002,NorthStar Avionics,NorthStar Avionics - Go-Live Readiness,2026-02-19T07:06:04.974256-05:00,1763,"[{""email"": ""maya.chen@technicianos.demo"", ""role"": ""internal""}, {""email"": ""samira.khan@technicianos.demo"", ""role"": ""internal""}, {""email"": ""northstar.admin@northstar.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""NorthStar Avionics"", ""opportunityName"": ""NorthStar Avionics Implementation"", ""accountId"": ""ACC-004""}","[""UAT schedule"", ""SSO configuration"", ""Change management"", ""Deployment planning"", ""User training""]","Call with NorthStar Avionics covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Complete: Validate license server connectivity from app host. || Comment: Customer prefers after-hours rollout window. || Create: Confirm required inbound ports with customer IT (include protocol and IP ranges).,PM: Discussed firewall rules and connectivity validation. | Customer: Outlined rollback and change management approach. | Tech: Reviewed environment configuration and prerequisites.,"[{""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200005,PRJ-2001,Apex Robotics,Apex Robotics - Integration Review,2026-02-04T12:06:04.974256-05:00,924,"[{""email"": ""maya.chen@technicianos.demo"", ""role"": ""internal""}, {""email"": ""liam.patel@technicianos.demo"", ""role"": ""internal""}, {""email"": ""apex.admin@apex.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""Apex Robotics"", ""opportunityName"": ""Apex Robotics Implementation"", ""accountId"": ""ACC-005""}","[""Database migration"", ""User training"", ""SSO configuration"", ""UAT schedule"", ""Rollback plan"", ""Firewall / ports""]","Call with Apex Robotics covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Create: Draft rollback plan and circulate for approval. || Create: Schedule UAT and define measurable success criteria. || Complete: Update internal DNS record.,Tech: Aligned on UAT schedule and acceptance criteria. | PM: Reviewed environment configuration and prerequisites. | PM: Reviewed environment configuration and prerequisites.,"[{""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200006,PRJ-2001,Apex Robotics,Apex Robotics - UAT Planning,2026-02-03T09:06:04.974256-05:00,1736,"[{""email"": ""maya.chen@technicianos.demo"", ""role"": ""internal""}, {""email"": ""liam.patel@technicianos.demo"", ""role"": ""internal""}, {""email"": ""apex.admin@apex.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""Apex Robotics"", ""opportunityName"": ""Apex Robotics Implementation"", ""accountId"": ""ACC-006""}","[""License server setup"", ""Performance tuning"", ""API authentication"", ""User training""]","Call with Apex Robotics covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Create: Run staging database test migration and log performance metrics. || Complete: Update internal DNS record. || Comment: Customer prefers after-hours rollout window.,PM: Aligned on UAT schedule and acceptance criteria. | Tech: Aligned on UAT schedule and acceptance criteria. | PM: Confirmed next steps and ownership assignments.,"[{""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200007,PRJ-2002,NorthStar Avionics,NorthStar Avionics - UAT Planning,2026-02-19T10:06:04.974256-05:00,1363,"[{""email"": ""maya.chen@technicianos.demo"", ""role"": ""internal""}, {""email"": ""samira.khan@technicianos.demo"", ""role"": ""internal""}, {""email"": ""northstar.admin@northstar.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""NorthStar Avionics"", ""opportunityName"": ""NorthStar Avionics Implementation"", ""accountId"": ""ACC-007""}","[""Deployment planning"", ""Integration testing"", ""Rollback plan"", ""Performance tuning"", ""Acceptance criteria"", ""Monitoring & alerts""]","Call with NorthStar Avionics covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Create: Share updated installation checklist. || Create: Schedule UAT and define measurable success criteria. || Create: Draft rollback plan and circulate for approval. || Complete: Validate license server connectivity from app host.,Tech: Outlined rollback and change management approach. | PM: Reviewed environment configuration and prerequisites. | Customer: Discussed firewall rules and connectivity validation.,"[{""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Customer"", ""speaker_email"": ""northstar.admin@northstar.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Tech"", ""speaker_email"": ""samira.khan@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200008,PRJ-2003,Harbor Health Systems,Harbor Health Systems - Integration Review,2026-02-01T13:06:04.974256-05:00,3111,"[{""email"": ""dylan.ng@technicianos.demo"", ""role"": ""internal""}, {""email"": ""liam.patel@technicianos.demo"", ""role"": ""internal""}, {""email"": ""harbor.admin@harbor.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""Harbor Health Systems"", ""opportunityName"": ""Harbor Health Systems Implementation"", ""accountId"": ""ACC-008""}","[""Data mapping"", ""Performance tuning"", ""Bug triage"", ""Deployment planning""]","Call with Harbor Health Systems covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Complete: Validate license server connectivity from app host. || Create: Provide API sample payloads and auth details. || Comment: Legacy schema requires custom field mapping. || Create: Draft rollback plan and circulate for approval.,Customer: Discussed firewall rules and connectivity validation. | PM: Confirmed next steps and ownership assignments. | Customer: Outlined rollback and change management approach.,"[{""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""PM"", ""speaker_email"": ""dylan.ng@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""PM"", ""speaker_email"": ""dylan.ng@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Outlined rollback and change management approach.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Discussed firewall rules and connectivity validation.""}, {""speaker"": ""Customer"", ""speaker_email"": ""harbor.admin@harbor.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
CALL-200009,PRJ-2001,Apex Robotics,Apex Robotics - Implementation Sync,2026-02-06T12:06:04.974256-05:00,3520,"[{""email"": ""maya.chen@technicianos.demo"", ""role"": ""internal""}, {""email"": ""liam.patel@technicianos.demo"", ""role"": ""internal""}, {""email"": ""apex.admin@apex.demo"", ""role"": ""external""}]","{""crmType"": ""Salesforce"", ""accountName"": ""Apex Robotics"", ""opportunityName"": ""Apex Robotics Implementation"", ""accountId"": ""ACC-009""}","[""Change management"", ""Deployment planning"", ""License server setup"", ""Performance tuning"", ""User training""]","Call with Apex Robotics covering implementation status, blockers, and next steps. Discussed ownership and timelines.",Create: Confirm required inbound ports with customer IT (include protocol and IP ranges). || Create: Run staging database test migration and log performance metrics.,Tech: Confirmed next steps and ownership assignments. | Customer: Reviewed environment configuration and prerequisites. | Tech: Confirmed next steps and ownership assignments.,"[{""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Quick recap of project goals and blockers.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Customer"", ""speaker_email"": ""apex.admin@apex.demo"", ""utterance"": ""Reviewed environment configuration and prerequisites.""}, {""speaker"": ""PM"", ""speaker_email"": ""maya.chen@technicianos.demo"", ""utterance"": ""Aligned on UAT schedule and acceptance criteria.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}, {""speaker"": ""Tech"", ""speaker_email"": ""liam.patel@technicianos.demo"", ""utterance"": ""Confirmed next steps and ownership assignments.""}]",/v2/calls/extensive + /v2/calls/transcript + /v2/calls/ai-content
